,Datetime,RA,DEC,APmag,S-brt,delta,deldot,S-O-T /r,S-T-O,Sky_motion,Sky_mot_PA,RelVel-ANG,Lun_Sky_Brt,sky_SNR,time_from_start,Month,Year,Day,pca,residuals
801,2024-02-03 09:00:00,225.07308333333333,-18.218555555555557,-9.934,5.272,0.00262254515048,-0.0613441,85.3780 /L,94.47,31.394017,110.6046,-3.527709,n.a.,n.a.,2883600.0,2,2024,3,-0.8079643905888502,-3.19601891121059e-05
6724,2024-10-07 04:00:00,238.84195833333334,-23.183916666666665,-8.001,6.055,0.00267374976407,-0.0363871,48.0099 /T,131.8761,30.365829,104.76492,-2.127188,n.a.,n.a.,24206400.0,10,2024,7,-1.0585545582830773,3.423272435911862e-05
1269,2024-02-22 21:00:00,139.28733333333332,20.48913888888889,-12.151,3.804,0.00270015210326,0.0197516,161.4971 /T,18.4532,29.928963,110.21933,1.1638245,n.a.,n.a.,4568400.0,2,2024,22,0.7736544039116204,4.390784879268949e-05
952,2024-02-09 16:00:00,319.809125,-19.70361111111111,-4.719,5.137,0.00240166996363,-0.0245205,6.0560 /L,173.9291,37.750903,69.696795,-1.287463,n.a.,n.a.,3427200.0,2,2024,9,-2.446611771699344,-8.193778606569325e-05
8525,2024-12-21 05:00:00,162.79479166666667,9.279722222222222,-10.73,4.837,0.0026624990915,0.0442226,108.8542 /L,70.9992,30.496475,117.08737,2.5816869,n.a.,n.a.,30690000.0,12,2024,21,0.3386740604144758,-9.249693291816553e-06
955,2024-02-09 19:00:00,321.691125,-18.366222222222223,-4.598,4.823,0.00239999624017,-0.0218421,4.9540 /L,175.0339,37.804692,69.05615,-1.146676,n.a.,n.a.,3438000.0,2,2024,9,-2.4755873294519626,-7.904118518982026e-05
5557,2024-08-19 13:00:00,327.0914583333333,-16.979333333333333,-12.694,3.522,0.00242360583013,-0.0326193,175.2592 /T,4.7293,37.078912,66.612589,-1.71441,n.a.,n.a.,20005200.0,8,2024,19,-2.5651455360829223,-4.0965373388062234e-05
7071,2024-10-21 15:00:00,84.506,28.502805555555554,-11.265,4.603,0.00250417028387,0.0720796,123.0499 /L,56.8295,34.529087,86.969599,3.9482085,n.a.,n.a.,25455600.0,10,2024,21,1.73993153522979,-7.424318728572717e-05
8523,2024-12-21 03:00:00,161.87533333333334,9.74111111111111,-10.761,4.820,0.00266034756202,0.0451893,109.7823 /L,70.0721,30.549311,116.93708,2.6356651,n.a.,n.a.,30682800.0,12,2024,21,0.3557477150139948,-1.1021290909845206e-05
4145,2024-06-21 17:00:00,265.6984166666667,-27.79202777777778,-12.53,3.574,0.00254954494429,-0.0475514,173.5654 /T,6.4184,33.56435,92.920224,-2.626455,n.a.,n.a.,14922000.0,6,2024,21,-1.5340484837760842,-5.0468469649450533e-05
