,Datetime,RA,DEC,Lon,Lat,APmag,S-brt,delta,deldot,S-O-T /r,S-T-O,Sky_motion,Sky_mot_PA,RelVel-ANG,Lun_Sky_Brt,sky_SNR,time_from_start
3163,2024-05-11 19:00:00,99.54491666666667,28.313694444444444,98.43043826068461,5.153271585303839,-8.025,6.091,0.00257034723021,0.0652609,47.4125 /T,132.4801,32.846226,93.379797,3.6552091,n.a.,n.a.,11386800.0
4941,2024-07-24 21:00:00,350.43129166666665,-4.023,349.62172606391397,0.09121298696903309,-11.562,4.455,0.00244075722328,0.0085202,133.2051 /L,46.6948,36.456407,62.096211,0.4577051,n.a.,n.a.,17787600.0
2677,2024-04-21 13:00:00,184.54591666666667,0.8897499999999999,183.8156364496258,2.6231028130554237,-11.889,4.029,0.00270524510405,-0.0144783,152.9405 /T,26.9894,29.775308,118.53395,-0.846858,n.a.,n.a.,9637200.0
4806,2024-07-19 06:00:00,268.1793333333333,-27.626666666666665,268.3730760364172,-4.197521309085952,-11.96,4.089,0.00253841966485,-0.060229,151.2777 /T,28.6535,33.773843,91.516873,-3.321282,n.a.,n.a.,17301600.0
8086,2024-12-02 22:00:00,270.12675,-27.539361111111113,270.1030880714285,-4.10005959271117,-5.93,6.312,0.00261370949623,-0.0379299,19.8517 /T,160.0968,31.942066,90.115714,-2.157898,n.a.,n.a.,29109600.0
4392,2024-07-02 00:00:00,47.204791666666665,20.968638888888886,50.55184407445739,3.197482828308887,-8.216,6.056,0.00250385732787,0.0262281,49.8011 /L,130.0908,34.65121,70.52408,1.4289579,n.a.,n.a.,15811200.0
5673,2024-08-24 09:00:00,31.9025,15.53175,35.04277698966084,2.472590084280092,-11.074,4.762,0.00245632666154,0.0472234,116.2728 /L,63.6027,35.897041,65.735004,2.5394152,n.a.,n.a.,20422800.0
2272,2024-04-04 16:00:00,321.86825,-18.318694444444443,318.3978538804997,-3.1644022641009286,-8.729,5.869,0.0024493631778,-0.0510549,57.1676 /L,122.7142,36.114473,68.765917,-2.73682,n.a.,n.a.,8179200.0
6594,2024-10-01 18:00:00,178.059125,1.7243333333333335,177.53104657959972,0.810221023090054,-4.971,5.952,0.00271482979334,0.0082254,11.2013 /L,168.7682,29.619754,118.66417,0.4793037,n.a.,n.a.,23738400.0
911,2024-02-07 23:00:00,292.972375,-25.11075,290.72207779454254,-3.3097894286651077,-6.808,6.338,0.00244227222908,-0.055792,28.2928 /L,151.6396,36.446511,80.60405,-2.973406,n.a.,n.a.,3279600.0
7110,2024-10-23 06:00:00,109.23270833333333,27.46183333333333,107.06799711611502,5.154807690577402,-10.586,4.970,0.00257210588278,0.0703932,102.8550 /L,77.0007,32.657292,98.709335,3.9672589,n.a.,n.a.,25596000.0
2989,2024-05-04 13:00:00,356.1184166666667,-2.357527777777778,355.4967062896423,-0.6209399694572588,-8.259,6.050,0.00243585683419,-0.0203434,49.2466 /L,130.6483,36.58132,61.683339,-1.085744,n.a.,n.a.,10760400.0
8478,2024-12-19 06:00:00,139.77683333333334,19.420416666666668,136.1807438167648,3.600570444100983,-11.437,4.425,0.00260196544854,0.0603473,131.1902 /L,48.6961,32.04475,111.31972,3.4303638,n.a.,n.a.,30520800.0
6024,2024-09-08 00:00:00,215.550875,-16.852611111111113,218.7844529802479,-2.5584565606955505,-8.292,5.961,0.00269861805968,-0.0256557,53.4378 /T,126.4388,29.77544,113.26561,-1.516471,n.a.,n.a.,21686400.0
5712,2024-08-26 00:00:00,54.641041666666666,23.64436111111111,57.89690732893072,4.059796517261188,-10.339,5.148,0.00250527175702,0.0552387,95.0035 /L,84.8551,34.45833,73.509824,3.0306756,n.a.,n.a.,20563200.0
7131,2024-10-24 03:00:00,121.57454166666666,25.241222222222223,118.3819790131059,4.859151573963518,-10.196,5.160,0.00260629568405,0.0644526,92.4574 /L,87.3926,31.791313,104.18966,3.682348,n.a.,n.a.,25671600.0
7883,2024-11-24 11:00:00,169.24804166666667,6.2523888888888886,167.66851737346167,1.4985803916390406,-9.423,5.483,0.00269305361491,0.027843,74.6448 /L,105.2043,29.794316,117.93485,1.6428894,n.a.,n.a.,28378800.0
3550,2024-05-27 22:00:00,303.7275,-23.150722222222225,300.7444637121917,-3.24038411972725,-11.305,4.583,0.00251678667532,-0.0309322,126.2114 /L,53.6741,34.276517,75.612668,-1.695791,n.a.,n.a.,12780000.0
1899,2024-03-20 03:00:00,127.00279166666667,24.253027777777778,123.42577773045458,5.004734633082356,-11.131,4.594,0.00268209553461,0.0351928,123.6231 /T,56.2485,30.127536,105.6521,2.0667198,n.a.,n.a.,6836400.0
6237,2024-09-16 21:00:00,339.43466666666666,-10.526638888888888,337.05625625239776,-1.7330215647342218,-12.39,3.818,0.00240661787957,-0.0367622,162.3942 /T,17.5642,37.561741,63.468981,-1.921556,n.a.,n.a.,22453200.0
5569,2024-08-20 01:00:00,334.1320416666667,-12.039944444444446,331.66078722131954,-1.2405944836373306,-12.698,3.525,0.00241553886136,-0.0231642,175.1282 /L,4.8604,37.326413,64.740296,-1.211977,n.a.,n.a.,20048400.0
2448,2024-04-12 00:00:00,63.446875,25.36602777777778,66.11188335155327,4.102331414573462,-7.885,6.141,0.00249760310586,0.0689238,44.0193 /T,135.8815,34.785742,76.525877,3.7508826,n.a.,n.a.,8812800.0
8218,2024-12-08 10:00:00,345.48991666666666,-7.95575,343.5642305968422,-1.6208738096288366,-10.11,5.239,0.00249373100266,-0.0349205,87.0780 /T,92.7771,34.802657,62.544132,-1.906833,n.a.,n.a.,29584800.0
3582,2024-05-29 06:00:00,322.64995833333336,-18.852138888888888,318.93396890585785,-3.9042216618984185,-10.814,4.897,0.00249492277836,-0.0257654,109.1210 /L,70.7459,34.812995,68.488505,-1.403996,n.a.,n.a.,12895200.0
515,2024-01-22 11:00:00,83.13933333333334,27.83775,83.91898339212119,4.543345744752156,-11.721,4.210,0.0026164559476,0.03948,142.1210 /T,37.7855,31.788888,85.301113,2.2533331,n.a.,n.a.,1854000.0
8651,2024-12-26 11:00:00,219.51483333333334,-17.08122222222222,222.4563160542549,-1.5789521051249253,-8.262,5.941,0.00268512516366,-0.0282274,51.8667 /L,128.01,30.084249,111.57679,-1.65942,n.a.,n.a.,31143600.0
793,2024-02-03 01:00:00,220.96829166666666,-17.737944444444445,223.9776597131798,-1.783354545278998,-10.071,5.200,0.00263403194565,-0.0579495,89.1936 /L,90.6532,31.118774,111.95163,-3.347375,n.a.,n.a.,2854800.0
5476,2024-08-16 04:00:00,276.0695416666667,-27.521333333333335,275.3853843960667,-4.195626582770313,-11.447,4.477,0.00253259071904,-0.0696748,131.7034 /T,48.1896,33.81791,87.588104,-3.846508,n.a.,n.a.,19713600.0
1495,2024-03-03 07:00:00,246.248625,-24.12977777777778,248.40427766912913,-2.4527767120717896,-10.272,5.121,0.00259648634721,-0.0632212,94.1478 /L,85.7026,32.039062,102.24948,-3.597175,n.a.,n.a.,5382000.0
231,2024-01-10 15:00:00,278.69775,-27.910722222222223,277.6959251973178,-4.7037966882796125,-5.383,6.038,0.00246220187718,-0.0481189,12.7825 /L,167.1855,35.940494,87.462919,-2.581319,n.a.,n.a.,831600.0
4475,2024-07-05 11:00:00,98.48254166666666,28.213166666666666,97.49919076668291,4.9944062558118,-4.7,5.571,0.00257450118601,0.0430926,7.8644 /L,172.1156,32.927835,93.260569,2.4024824,n.a.,n.a.,16110000.0
3757,2024-06-05 13:00:00,59.331583333333334,24.34547222222222,62.242388092077896,3.8134298374859696,-5.342,6.141,0.00249294257299,0.0354082,13.3250 /L,166.6423,35.085671,75.050644,1.9126362,n.a.,n.a.,13525200.0
1014,2024-02-12 06:00:00,356.2038333333333,-2.306361111111111,355.5953655191652,-0.6078493682483698,-7.168,6.300,0.00240696327278,0.0303187,32.4266 /T,147.4985,37.51345,61.841144,1.5863395,n.a.,n.a.,3650400.0
1180,2024-02-19 04:00:00,89.96425,28.35938888888889,89.97026862619856,4.920201526599912,-11.092,4.641,0.00262795269622,0.0481103,120.1931 /T,59.6753,31.37511,88.681001,2.7665443,n.a.,n.a.,4248000.0
7309,2024-10-31 13:00:00,204.774,-11.668277777777778,207.19325110023632,-1.2786074540087131,-4.972,5.914,0.00270874980786,-0.0129013,10.9820 /L,168.988,29.759071,115.97674,-0.764165,n.a.,n.a.,26312400.0
2752,2024-04-24 16:00:00,219.009375,-16.22897222222222,221.73296421330406,-0.9173808769796304,-12.421,3.590,0.00265999467451,-0.0331388,172.0322 /L,7.947,30.857811,112.61264,-1.907378,n.a.,n.a.,9907200.0
5406,2024-08-13 06:00:00,234.33041666666668,-22.516305555555554,237.34819801093602,-3.0280611745413997,-10.285,5.118,0.00264252601268,-0.0545787,96.9194 /T,82.9323,30.944841,106.62351,-3.159808,n.a.,n.a.,19461600.0
1030,2024-02-12 22:00:00,4.962666666666666,1.02275,4.95612888857255,-1.0331138891095255,-7.825,6.153,0.00242087427476,0.0415975,41.6252 /T,138.2815,37.042302,61.648808,2.1933868,n.a.,n.a.,3708000.0
4356,2024-06-30 12:00:00,27.005333333333333,12.848500000000001,29.656007399443457,1.6004284258506698,-9.282,5.656,0.00248471669627,0.0180043,69.1959 /L,110.673,35.108354,64.521491,0.9761782,n.a.,n.a.,15681600.0
6018,2024-09-07 18:00:00,212.71083333333334,-14.050777777777778,215.27590296329805,-0.8147386054785765,-8.127,6.018,0.00270210785306,-0.0226868,50.7082 /T,129.1728,29.713546,114.07995,-1.342708,n.a.,n.a.,21664800.0
5040,2024-07-29 00:00:00,43.9925,20.100805555555556,47.415934802457336,3.202495128352436,-9.692,5.466,0.00250553529518,0.038355,78.6379 /L,101.2233,34.488838,69.49083,2.1018218,n.a.,n.a.,18144000.0
3723,2024-06-04 03:00:00,38.96933333333333,17.810277777777777,42.19194967531458,2.433267705898983,-6.983,6.370,0.00247039267525,0.0195146,31.5524 /L,148.3743,35.669038,67.589581,1.044801,n.a.,n.a.,13402800.0
6347,2024-09-21 11:00:00,42.118208333333335,19.728555555555555,45.61860272205006,3.359400763166523,-11.581,4.435,0.00243819230892,0.0544603,132.8922 /L,47.0061,36.479368,68.815343,2.9036845,n.a.,n.a.,22849200.0
4517,2024-07-07 05:00:00,123.52658333333333,24.693444444444445,120.23431138190732,4.704194416139032,-5.465,6.266,0.00261955530761,0.0447941,15.6921 /T,164.2681,31.790145,104.57286,2.5425312,n.a.,n.a.,16261200.0
1709,2024-03-12 05:00:00,16.220916666666668,7.133611111111112,17.677225850287208,0.21090167810693947,-6.622,6.366,0.00240960714078,0.0416403,25.9019 /T,154.0374,37.444058,62.33811,2.1814019,n.a.,n.a.,6152400.0
3689,2024-06-02 17:00:00,20.034833333333335,9.239305555555555,21.968500300335208,0.7336118607436461,-8.291,6.040,0.00246088629681,0.0040373,50.3349 /L,129.5578,35.860414,63.052386,0.2132313,n.a.,n.a.,13280400.0
730,2024-01-31 10:00:00,191.60304166666666,-3.5084166666666667,192.03558197767782,1.3584469986983736,-10.985,4.670,0.00269774424501,-0.0250675,118.2444 /L,61.6176,29.743339,117.96438,-1.477774,n.a.,n.a.,2628000.0
8112,2024-12-04 00:00:00,285.9220833333333,-26.39011111111111,284.2469491936628,-3.735456068865088,-7.017,6.296,0.00258981682778,-0.0383479,32.4810 /T,147.4381,32.478737,82.642018,-2.164851,n.a.,n.a.,29203200.0
156,2024-01-07 12:00:00,231.562625,-20.3295,234.32027946590463,-1.523225338881377,-8.346,5.944,0.00257400505418,-0.0671147,51.7286 /L,128.1534,32.718525,108.38349,-3.775485,n.a.,n.a.,561600.0
8732,2024-12-29 20:00:00,264.346125,-27.68797222222222,264.9713549412732,-4.347029876456463,-5.396,6.120,0.00260649014244,-0.0461284,14.1422 /L,165.8204,32.125083,92.62324,-2.615023,n.a.,n.a.,31435200.0
7346,2024-11-02 02:00:00,222.37045833333335,-18.228,225.3973061605378,-1.8547780837028063,-4.554,5.344,0.00269268794486,-0.0228449,6.9122 /T,173.0692,30.123813,111.00683,-1.340408,n.a.,n.a.,26445600.0
1652,2024-03-09 20:00:00,344.2248333333333,-8.125222222222222,342.34206635352405,-1.2961967014145366,-4.957,5.584,0.00238709481031,-0.0105905,8.2565 /L,171.7235,38.196774,63.077042,-0.556204,n.a.,n.a.,5947200.0
3389,2024-05-21 05:00:00,210.1415,-13.98863888888889,212.90973268645067,-1.6024659974728992,-11.896,4.052,0.00266579698823,-0.0352512,152.5817 /T,27.3487,30.659248,114.94537,-2.038495,n.a.,n.a.,12200400.0
7390,2024-11-03 22:00:00,245.61308333333332,-25.801472222222223,248.10696130927298,-4.19577761969822,-6.495,6.358,0.00266301490706,-0.0330733,26.9107 /T,153.0196,30.735673,101.74537,-1.91973,n.a.,n.a.,26604000.0
5095,2024-07-31 07:00:00,76.992125,27.696638888888888,78.46516923171228,4.776977179353625,-8.181,6.050,0.0025583244099,0.0405725,49.9350 /L,129.9542,33.18334,83.271274,2.2605415,n.a.,n.a.,18342000.0
7338,2024-11-01 18:00:00,218.43016666666668,-17.714499999999997,221.66760338477775,-2.501352538729582,-4.211,4.424,0.00269689529723,-0.0208527,3.8690 /T,176.1206,30.033036,112.30469,-1.225848,n.a.,n.a.,26416800.0
7083,2024-10-22 03:00:00,92.30104166666666,28.660805555555555,92.02933090978166,5.237794415714455,-11.061,4.720,0.00252516095439,0.0730693,116.7050 /L,63.1654,33.929683,90.705977,4.0383567,n.a.,n.a.,25498800.0
2290,2024-04-05 10:00:00,332.44445833333333,-14.559138888888889,329.2282074602015,-3.011362941848156,-8.14,6.079,0.00242905342892,-0.0422508,46.9693 /L,132.9287,36.767734,65.587874,-2.245146,n.a.,n.a.,8244000.0
